,Title,Poet,Poem
0,Aperture,Jennifer Tonge,"Open the window and you want to fly out,
though you never actually do—

I think I see you, still there on the ledge,
where I've left you.

How pulled-awake and flung
can one life be?

Again I thought, It will end.
Again I promised and clung.

I learned there that
to cling was in my nature.

I think I see you, though you flash
quickly through the shutter.

I think I hear you, though I sleep.

Remember this as a bolero,
a finite flaring—

both the tulip tree
burning in full bloom

and the weeping silver birch."
1,Apostrophe to the Apostrophe,Eric Nelson,"Small floater, you stay above the fray, 
a wink at nothing's nod, a raised brow 
watching p's and q's, a selfless mote 
between I and m, a little horn of plenty 
spilling plurals, disdaining the bottom line. 

Unlike your twin relatives—groupies of wit 
and wisdom, hangers on in the smallest talk—
you work alone, dark of a crescent moon. 
Laboring in obscurity, you never ask why, 
never exclaim, never tell anyone where to go. 

Caught up between extremes, you are both 
a turning away and a stepping forth, 
a loss and an addition. You are the urge 
to possess everything, and the sure sign 
that something is missing."
3,Appetite,Paulann Petersen,"Pale gold and crumbling with crust 
mottled dark, almost bronze, 
pieces of honeycomb lie on a plate. 
Flecked with the pale paper 
of hive, their hexagonal cells 
leak into the deepening pool 
of amber. On your lips, 
against palate, tooth and tongue, 
the viscous sugar squeezes 
from its chambers, sears sweetness 
into your throat until you chew 
pulp and wax from a blue city 
of bees. Between your teeth 
is the blown flower and the flower's 
seed. Passport pages stamped 
and turning. Death's officious hum. 
Both the candle and its anther 
of flame. Your own yellow hunger. 
Never say you can't take 
this world into your mouth."
4,Arrowhead,Robert Pack,"Where two streams joined, we met 
By accident, sitting upon an outcropping of rock 
With only the intent of watching 
Water flow beneath unwinding water. 
   Facing up-stream, she held a flower 
To the sun as I leaned back and found 
An arrowhead inside a crevice, which lay there 
As if someone had left it by intent 
As an excuse for me to speak above the whirl of water 
Swirling upon stone and thus 
Transform the accident of meeting her—
Ablaze in sunlight with a flower in her hand—
Into stark fact as obdurate as rock. 
   Could I have called, ""Look at this arrowhead 
I just found here!"" Would she have thought 
""An accident, that's credible,""
Or feared that my intent was sinister, 
And that the implication of the arrowhead, 
Unlike the radiant white flower or 
The two streams merging into faster water, 
Casting up colored spume, 
Had been contrived by me, certain as rock 
That forms by geologic laws? 
   She had to know an arrowhead 
Is humanly designed with the intent to kill, 
Though now it's harmless as a flower 
Decorating someone's hair, 
Or water organized into a garden fountain. 
An arrowhead can now be used 
As an adornment for a necklace 
Like a flower in a painting where a stream 
Leaps past a light-reflecting rock 
With nothing in a brush-stroke left to accident. 
   And so our accidental meeting on the rock 
Flowed by, a flower cast upon the water 
With intent unknown, and all 
That's left now is the arrowhead."
5,Arrowhead Hunting,A.E. Stallings,"The land is full of what was lost. What's hidden 
Rises to the surface after rain 
In new-ploughed fields, and fields stubbled again: 
The clay shards, foot and lip, that heaped the midden, 

And here and there a blade or flakes of blade, 
A patient art, knapped from a core of flint, 
Most broken, few as coins new from the mint, 
Perfect, shot through time as through a glade. 

You cannot help but think how they were lost: 
The quarry, fletched shaft in its flank, the blood 
Whose trail soon vanished in the antlered wood, 
Not just the meat, but what the weapon cost— 

O hapless hunter, though your aim was true— 
The wounded hart, spooked, fleeting in its fear— 
And the sharpness honed with longing, year by year 
Buried deeper, found someday, but not by you."
6,At the Poetry Reading,John Brehm,"I can’t keep my eyes off the poet’s 
wife’s legs—they’re so much more 
beautiful than anything he might 
be saying, though I’m no longer 
in a position really to judge, 
having stopped listening some time ago. 
He’s from the Iowa Writers Workshop 
and can therefore get along fine 
without my attention. He started in 
reading poems about his childhood— 
barns, cornsnakes, gradeschool, flowers, 
that sort of stuff—the loss of 
innocence he keeps talking about 
between poems, which I can relate to, 
especially under these circumstances. 
Now he’s on to science, a poem 
about hydrogen, I think, he’s trying 
to imagine himself turning into hydrogen. 
Maybe he’ll succeed. I’m imagining 
myself sliding up his wife’s fluid, 
rhythmic, lusciously curved, black- 
stockinged legs, imagining them arched 
around my shoulders, wrapped around my back. 
My God, why doesn’t he write poems about her! 
He will, no doubt, once she leaves him, 
leaves him for another poet, perhaps, 
the observant, uninnocent one, who knows 
a poem when it sits down in a room with him."
7,Au Vieux Jardin,Richard Aldington,"I have sat here happy in the gardens,
Watching the still pool and the reeds
And the dark clouds
Which the wind of the upper air
Tore like the green leafy boughs
Of the divers-hued trees of late summer;
But though I greatly delight
In these and the water-lilies,
That which sets me nighest to weeping
Is the rose and white color of the smooth flag-stones,
And the pale yellow grasses
Among them."
8,Bedtime Story,Charles Wright,"The generator hums like a distant ding an sich.   
It's early evening, and time, like the dog it is,   
                                                                                 is hungry for food,   
And will be fed, don't doubt it, will be fed, my small one.   
The forest begins to gather its silences in.   
The meadow regroups and hunkers down   
                                                                            for its cleft feet.   

Something is wringing the rag of sunlight   
                                                                  inexorably out and hanging.   
Something is making the reeds bend and cover their heads.   
Something is licking the shadows up,   
And stringing the blank spaces along, filling them in.   
Something is inching its way into our hearts,   
                              scratching its blue nails against the wall there.   

Should we let it in?   
                                       Should we greet it as it deserves,   
Hands on our ears, mouths open?   
Or should we bring it a chair to sit on, and offer it meat?   
Should we turn on the radio,   
                                                     should we clap our hands and dance   
The Something Dance, the welcoming Something Dance?   
                               I think we should, love, I think we should."
9,Beech,Kevin McFadden,"For a tree, you're the worst kind 
of friend, remembering everything. 
Pale-skinned, slightly brailled, blank 
page of pre-adolescence. The way 
the smallest knife-slice would darken 
with time, rise and widen. 

mark was here. Left his. 
But these are the digs you're used to, 
sufferer of mere presence, 
scratched years, scratched loves 
we wanted to write on the world 
and couldn't trust to an eardrum. 

(I scarred you myself long ago with 
my own jack-knife, jill-name. 
You took her as the morning 
unsteamed around me. Took us 
as we had to be taken, in.) Old relief, 
new reminder, I was young, what could 

I have written? Didn't care then, had          
to see it scraped out, big letters beneath 
your erotic nubs and crotches. O beech, 
it's no big riddle: we fell in the forest, 
you heard. Quiet, in your own way. 
In your own way, spreading the word."
10,Before the Rain,Lianne Spidel,"Minutes before the rain begins
I always waken, listening
to the world hold its breath,
as if a phone had rung once in a far
room or a door had creaked
in the darkness.

Perhaps the genes of some forebear
startle in me, some tribal warrior
keeping watch on a crag beside a loch,
miserable in the cold,

though I think it is a woman's waiting
I have come to know,
a Loyalist hiding in the woods,
muffling the coughing of her child
against her linen skirts, her dark head
bent over his, her fear spent
somewhere else in time,

leaving only this waiting,

and I hope she escaped
with her child, and I suppose she did.
If not, I wouldn't be lying here awake,
alive, listening for the rain to begin
so that she can run, the sound
of her footsteps lost, the sight
of them blotted away on the path."
